Author;DOI;Composition;Ta (K);alpha (mkV K-1);Ts (K);sigma (Ohm-1 cm-1);Tk (K);kappa (W m-1 K-1)
Ivanova2023;10.1039/D2TA07625J;In$_{1}$Co$_{4}$Sb$_{12+\delta}$ (MSA);300;-147.16484;300;1280.42113;300;2.23549
;;;323;-155.43172;323;1230.04888;323;2.26128
;;;373;-171.98118;373;1130.47463;373;2.26909
;;;423;-186.55653;423;1043.11845;423;2.22927
;;;473;-199.12588;473;966.29067;473;2.16434
;;;523;-209.65732;523;898.30159;523;2.0968
;;;573;-218.11897;573;837.46154;573;2.04915
;;;623;-224.47894;623;782.08083;623;2.04389
;;;673;-228.70532;673;730.46978;673;2.10354
;;;723;-230.76624;723;680.93871;723;2.25059
;;;773;-230.62979;773;631.79793;773;2.50755
Khovaylo2017;10.1039/C6TA09092C;In$_{1}$Co$_{4}$Sb$_{12}$;299.70543;-198.49148;301.27522;599.15975;300.17298;1.85433
;;;326.37236;-203.1631;326.51657;583.49974;323.73444;1.78762
;;;374.96124;-216.21474;377.09903;558.53451;374.65447;1.66586
;;;425.16341;-228.11051;425.88567;540.37797;423.33518;1.58645
;;;474.79618;-235.86444;476.96697;519.49796;474.35257;1.4954
;;;526.13716;-241.69193;525.155;503.83795;524.68842;1.41599
;;;575.20053;-245.83378;575.6377;489.53968;574.53747;1.36728
;;;626.5415;-245.83378;625.62156;475.01445;624.87333;1.31223
;;;676.17427;-241.93273;675.50564;473.87967;674.72238;1.27623
;;;725.33255;-233.938;724.89089;477.73793;725.1556;1.24552
;;;775.53472;-219.53785;774.87475;484.31968;774.42048;1.22752
;;;788.06154;-215.63681;786.84693;490.67446;786.68802;1.22752
Ghosh2020;10.1021/acsaem.9b01851;(InSb)$_{0.2}$In$_{0.5}$Co$_{4}$Sb$_{12}$;372.436;-163.134;371.455;1266.91;372.313;2.95784
;;;420.872;-176.388;420.182;1180.67;422.673;2.71943
;;;468.566;-186.498;471.818;1106.32;473.057;2.63985
;;;518.456;-195.56;517.636;1040.89;522.732;2.62881
;;;577.877;-203.918;569.273;993.309;572.752;2.58948
;;;624.091;-209.837;620.182;942.751;622.512;2.63104
;;;668.832;-213.66;673.273;895.167;672.508;2.6569
;;;720.906;-217.48;722;856.506;722.201;2.7466
He2006;10.1021/cm052055b;In$_{0.25}$Co$_{4}$Sb$_{12}$;300.923;-207.916;302.392;732.03763;301.945;2.56042
;;;325.846;-213.252;326.316;689.36516;351.509;2.39455
;;;350.769;-224.29;351.196;691.10411;400.256;2.26143
;;;373.846;-231.814;376.077;665.7701;452.648;2.21225
;;;400.615;-240.225;402.871;642.33914;499.76;2.14463
;;;426.462;-246.88;427.751;631.90754;550.444;2.1189
;;;451.385;-253.532;450.718;610.55279;576.689;2.12234
;;;474.462;-256.669;475.598;580.62568;;
;;;499.385;-260.251;503.349;582.00442;;
;;;526.154;-262.084;527.273;563.8854;;
;;;550.154;-263.47;550.239;564.95898;;
;;;573.231;-267.923;575.12;566.1296;;
;;;599.077;-271.507;600;549.01315;;
Leszczynski2013;10.1088/0022-3727/46/49/495106;In$_{0.26}$Co$_{4}$Sb$_{12}$;334.18847;-158.93148;333.47355;1380.80278;324.67078;3.81626
;;;384.07423;-172.95522;382.99158;1277.21687;373.63006;3.5117
;;;437.02423;-187.12976;436.90843;1179.33303;422.46539;3.31275
;;;490.34193;-196.02654;489.69416;1102.93358;476.38256;3.19731
;;;542.55651;-205.82808;543.611;1043.93864;523.85446;3.06223
;;;597.09991;-213.82011;596.01969;984.83646;577.77164;3.08433
;;;647.72109;-218.04231;648.30269;952.02854;624.00407;3.02293
;;;699.93567;-223.16927;699.95729;921.33602;679.78045;3.07696
;;;750.31171;-223.16927;750.73213;886.62683;723.28604;3.26609
;;;;;;;773.36084;3.50433
